fg%;3p%;ft%;orb;drb;trb;ast;stl;blk;tov;pts;ts%;efg%;3par;ftr;orb%;drb%;trb%;ast%;stl%;blk%;tov%;usg%;ortg;drtg;team;team_opp;total_opp;season;date;won
0.481;0.3;0.778;6.0;41.0;47.0;26.0;7.0;7.0;14.0;98.0;0.551;0.519;0.247;0.222;16.2;67.2;48.0;66.7;7.4;10.1;13.6;100.0;103.7;100.5;ATL;DAL;95;2016;9/12/2015;True
0.36;0.226;0.842;20.0;31.0;51.0;18.0;7.0;3.0;9.0;95.0;0.438;0.395;0.31;0.19;32.8;83.8;52.0;50.0;7.4;4.9;7.7;100.0;100.5;103.7;DAL;ATL;98;2016;9/12/2015;False
0.435;0.421;0.739;11.0;31.0;42.0;23.0;7.0;4.0;13.0;99.0;0.52;0.482;0.224;0.271;22.4;72.1;45.7;62.2;7.4;5.9;12.0;100.0;104.8;113.3;MIN;SAS;107;2018;18/10/2017;False
0.461;0.381;0.895;12.0;38.0;50.0;22.0;8.0;11.0;11.0;107.0;0.55;0.506;0.236;0.213;27.9;77.6;54.3;53.7;8.5;16.7;10.2;100.0;113.3;104.8;SAS;MIN;99;2018;18/10/2017;True
0.314;0.231;0.75;12.0;44.0;56.0;16.0;4.0;6.0;20.0;75.0;0.396;0.349;0.302;0.233;22.2;74.6;49.6;59.3;4.1;10.0;17.4;100.0;76.7;94.0;ORL;MEM;92;2021;30/04/2021;False
0.343;0.282;0.813;15.0;42.0;57.0;25.0;10.0;8.0;8.0;92.0;0.434;0.399;0.394;0.162;25.4;77.8;50.4;73.5;10.2;13.3;7.0;100.0;94.0;76.7;MEM;ORL;75;2021;30/04/2021;True
0.422;0.375;0.667;10.0;26.0;36.0;18.0;9.0;3.0;16.0;91.0;0.5;0.476;0.289;0.217;21.7;65.0;41.9;51.4;9.8;4.5;15.0;100.0;98.6;116.0;LAC;MIN;107;2017;8/03/2017;False
0.488;0.25;0.9;14.0;36.0;50.0;26.0;10.0;4.0;12.0;107.0;0.564;0.517;0.233;0.233;35.0;78.3;58.1;61.9;10.8;6.8;11.2;100.0;116.0;98.6;MIN;LAC;91;2017;8/03/2017;True
0.506;0.435;0.844;12.0;25.0;37.0;27.0;4.0;1.0;7.0;125.0;0.618;0.563;0.264;0.368;27.9;78.1;49.3;61.4;4.3;3.1;6.5;100.0;134.5;130.2;SAC;DAL;121;2019;26/03/2019;True
0.506;0.333;0.875;7.0;31.0;38.0;27.0;1.0;6.0;11.0;121.0;0.664;0.604;0.584;0.416;21.9;72.1;50.7;69.2;1.1;9.4;10.8;100.0;130.2;134.5;DAL;SAC;125;2019;26/03/2019;False
0.42;0.32;0.76;12.0;38.0;50.0;17.0;3.0;2.0;16.0;95.0;0.516;0.469;0.309;0.309;27.9;84.4;56.8;50.0;3.2;3.6;14.8;100.0;102.1;96.7;CLE;CHO;90;2016;27/11/2015;True
0.413;0.2;0.76;7.0;31.0;38.0;20.0;7.0;7.0;11.0;90.0;0.495;0.444;0.313;0.313;15.6;72.1;43.2;60.6;7.5;12.5;10.8;100.0;96.7;102.1;CHO;CLE;95;2016;27/11/2015;False
0.505;0.395;0.933;16.0;32.0;48.0;27.0;4.0;1.0;17.0;125.0;0.615;0.584;0.4;0.158;37.2;76.2;56.5;56.3;4.0;1.7;14.3;100.0;124.1;135.0;BRK;MIN;136;2022;23/01/2022;False
0.522;0.438;0.839;10.0;27.0;37.0;24.0;11.0;7.0;9.0;136.0;0.644;0.598;0.348;0.337;23.8;62.8;43.5;50.0;10.9;12.3;7.9;100.0;135.0;124.1;MIN;BRK;125;2022;23/01/2022;True
0.46;0.385;0.781;11.0;32.0;43.0;23.0;9.0;6.0;13.0;132.0;0.579;0.535;0.39;0.32;23.4;78.0;48.9;50.0;8.1;9.0;10.2;100.0;118.7;124.1;UTA;NOP;138;2020;16/01/2020;False
0.548;0.423;0.714;9.0;36.0;45.0;29.0;8.0;9.0;13.0;138.0;0.637;0.608;0.28;0.376;22.0;76.6;51.1;56.9;7.2;14.8;10.7;100.0;124.1;118.7;NOP;UTA;132;2020;16/01/2020;True
0.412;0.259;0.806;13.0;24.0;37.0;20.0;6.0;0.0;11.0;102.0;0.517;0.453;0.318;0.365;25.0;70.6;43.0;57.1;6.4;0.0;10.0;100.0;108.1;136.7;CHI;PHO;129;2022;18/03/2022;False
0.56;0.44;0.923;10.0;39.0;49.0;23.0;5.0;4.0;11.0;129.0;0.676;0.625;0.298;0.31;29.4;75.0;57.0;48.9;5.3;6.9;10.3;100.0;136.7;108.1;PHO;CHI;102;2022;18/03/2022;True
0.474;0.452;0.6;9.0;36.0;45.0;37.0;8.0;0.0;13.0;120.0;0.579;0.572;0.433;0.155;17.3;81.8;46.9;80.4;7.6;0.0;11.1;100.0;113.7;117.5;GSW;ORL;124;2021;19/02/2021;False
0.489;0.419;0.824;8.0;43.0;51.0;30.0;7.0;8.0;13.0;124.0;0.611;0.585;0.457;0.181;18.2;82.7;53.1;65.2;6.6;14.5;11.4;100.0;117.5;113.7;ORL;GSW;120;2021;19/02/2021;True
0.469;0.435;0.778;10.0;22.0;32.0;29.0;14.0;4.0;21.0;107.0;0.576;0.531;0.284;0.333;25.6;64.7;43.8;76.3;14.0;7.3;18.4;100.0;106.8;124.8;IND;MIL;125;2017;3/11/2016;False
0.573;0.444;0.792;12.0;29.0;41.0;32.0;10.0;6.0;21.0;125.0;0.675;0.646;0.329;0.293;35.3;74.4;56.2;68.1;10.0;10.3;18.5;100.0;124.8;106.8;MIL;IND;107;2017;3/11/2016;True
0.417;0.306;0.739;12.0;32.0;44.0;28.0;7.0;5.0;17.0;108.0;0.509;0.474;0.375;0.24;22.6;65.3;43.1;70.0;6.5;9.1;13.8;100.0;100.3;122.6;POR;HOU;132;2020;18/11/2019;False
0.47;0.378;0.808;17.0;41.0;58.0;24.0;9.0;10.0;16.0;132.0;0.592;0.555;0.45;0.26;34.7;77.4;56.9;51.1;8.4;16.7;12.6;100.0;122.6;100.3;HOU;POR;108;2020;18/11/2019;True
0.475;0.37;0.714;13.0;34.0;47.0;18.0;12.0;5.0;8.0;114.0;0.542;0.525;0.273;0.141;27.7;73.9;50.5;38.3;12.4;12.5;7.1;100.0;118.0;105.6;ATL;BRK;102;2018;2/12/2017;True
0.415;0.405;0.81;12.0;34.0;46.0;26.0;1.0;8.0;19.0;102.0;0.559;0.518;0.512;0.256;26.1;72.3;49.5;76.5;1.0;11.1;17.2;100.0;105.6;118.0;BRK;ATL;114;2018;2/12/2017;False
0.425;0.286;0.909;8.0;33.0;41.0;17.0;10.0;7.0;19.0;96.0;0.535;0.475;0.35;0.275;17.8;89.2;50.0;50.0;10.0;16.7;17.5;100.0;95.9;115.9;PHI;GSW;116;2022;24/11/2021;False
0.525;0.395;0.708;4.0;37.0;41.0;32.0;7.0;5.0;16.0;116.0;0.64;0.619;0.475;0.3;10.8;82.2;50.0;76.2;7.0;9.6;15.0;100.0;115.9;95.9;GSW;PHI;96;2022;24/11/2021;True
0.452;0.423;0.846;8.0;28.0;36.0;17.0;10.0;2.0;12.0;98.0;0.546;0.518;0.31;0.155;18.2;80.0;45.6;44.7;10.7;4.0;11.8;100.0;104.7;116.5;DAL;OKC;109;2017;26/01/2017;False
0.514;0.409;0.722;7.0;36.0;43.0;13.0;7.0;2.0;16.0;109.0;0.62;0.576;0.306;0.5;20.0;81.8;54.4;35.1;7.5;3.4;15.4;100.0;116.5;104.7;OKC;DAL;98;2017;26/01/2017;True
0.541;0.296;0.826;6.0;38.0;44.0;15.0;13.0;8.0;22.0;107.0;0.636;0.595;0.365;0.311;17.6;77.6;53.0;37.5;13.2;13.1;20.7;100.0;108.3;94.1;LAC;ORL;93;2016;5/02/2016;True
0.42;0.2;0.75;11.0;28.0;39.0;19.0;6.0;1.0;18.0;93.0;0.498;0.444;0.247;0.346;22.4;82.4;47.0;55.9;6.1;2.1;16.2;100.0;94.1;108.3;ORL;LAC;107;2016;5/02/2016;False
0.527;0.488;0.619;12.0;37.0;49.0;39.0;11.0;4.0;12.0;129.0;0.643;0.637;0.451;0.231;30.8;84.1;59.0;81.3;11.4;9.8;10.7;100.0;133.7;108.9;DET;TOR;105;2021;3/03/2021;True
0.442;0.333;0.833;7.0;27.0;34.0;17.0;6.0;5.0;14.0;105.0;0.582;0.519;0.468;0.39;15.9;69.2;41.0;50.0;6.2;10.0;13.4;100.0;108.9;133.7;TOR;DET;129;2021;3/03/2021;False
0.458;0.429;0.8;6.0;24.0;30.0;18.0;10.0;2.0;9.0;104.0;0.566;0.53;0.337;0.241;13.6;64.9;37.0;47.4;10.9;4.7;8.9;100.0;113.7;125.7;SAS;DAL;115;2021;10/03/2021;False
0.518;0.325;0.842;13.0;38.0;51.0;29.0;3.0;1.0;14.0;115.0;0.629;0.596;0.482;0.229;35.1;86.4;63.0;67.4;3.3;1.8;13.3;100.0;125.7;113.7;DAL;SAS;104;2021;10/03/2021;True
0.386;0.333;0.824;10.0;41.0;51.0;19.0;5.0;4.0;10.0;93.0;0.487;0.449;0.375;0.193;18.5;83.7;49.5;55.9;5.3;9.5;9.5;100.0;98.5;101.6;ORL;LAL;96;2021;28/03/2021;False
0.415;0.275;0.739;8.0;44.0;52.0;25.0;9.0;5.0;12.0;96.0;0.521;0.482;0.488;0.28;16.3;81.5;50.5;73.5;9.5;9.1;11.5;100.0;101.6;98.5;LAL;ORL;93;2021;28/03/2021;True
